Category,object,type
DeFiTerms,Altcoin,defiterms
DeFiTerms,ASIC,defiterms
DeFiTerms,Atomic swap,defiterms
DeFiTerms,Blockchain,defiterms
DeFiTerms,Byzantine fault tolerance,defiterms
DeFiTerms,Candlestick chart,defiterms
DeFiTerms,Centralized,defiterms
DeFiTerms,Consensus algorithm,defiterms
DeFiTerms,Crypto Index,defiterms
DeFiTerms,Crypto Index Token,defiterms
DeFiTerms,Crypto wallet,defiterms
DeFiTerms,Cryptocurrency,defiterms
DeFiTerms,Cryptocurrency exchange,defiterms
DeFiTerms,Cryptocurrency Index,defiterms
DeFiTerms,Cryptography,defiterms
DeFiTerms,Dapps (decentralized applications),defiterms
DeFiTerms,Decentralization,defiterms
DeFiTerms,Decentralized,defiterms
DeFiTerms,Decentralized exchange (DEX),defiterms
DeFiTerms,Digital currency,defiterms
DeFiTerms,Distribution Ledger,defiterms
DeFiTerms,ERC-1155,defiterms
DeFiTerms,ERC-20,defiterms
DeFiTerms,ERC-721,defiterms
DeFiTerms,Ethereum Classic (ETC),defiterms
DeFiTerms,Ethereum Virtual Machine (EVM),defiterms
DeFiTerms,Fiat currency,defiterms
DeFiTerms,FOMO,defiterms
DeFiTerms,FUD,defiterms
DeFiTerms,Gas,defiterms
DeFiTerms,Gas limit,defiterms
DeFiTerms,Gas price,defiterms
DeFiTerms,Governance token,defiterms
DeFiTerms,Halving,defiterms
DeFiTerms,Hard cap,defiterms
DeFiTerms,Hard fork,defiterms
DeFiTerms,Hash,defiterms
DeFiTerms,Hash rate,defiterms
DeFiTerms,Hardware wallet,defiterms
DeFiTerms,HODL,defiterms
DeFiTerms,ICO (initial coin offering),defiterms
DeFiTerms,Identity management,defiterms
DeFiTerms,Immutable,defiterms
DeFiTerms,Infura,defiterms
DeFiTerms,Initial exchange offering (IEO),defiterms
DeFiTerms,Initial token offering (ITO),defiterms
DeFiTerms,Interoperability,defiterms
DeFiTerms,IPFS (InterPlanetary File System),defiterms
DeFiTerms,Kovan testnet,defiterms
DeFiTerms,Layer 2 solutions,defiterms
DeFiTerms,Ledger,defiterms
DeFiTerms,Limit order,defiterms
DeFiTerms,Lightning Network,defiterms
DeFiTerms,Liquidity,defiterms
DeFiTerms,Liquidity pool,defiterms
DeFiTerms,London fork,defiterms
